Num;ID;Energy_kcal;Protein_g;Fat_g;Carb_g;Sugar_g;Fiber_g;VitA_mcg;VitB6_mg;VitB12_mcg;VitC_mg;VitE_mg;Folate_mcg;Niacin_mg;Riboflavin_mg;Thiamin_mg;Calcium_mg;Copper_mcg;Iron_mg;Magnesium_mg;Manganese_mg;Phosphorus_mg;Selenium_mcg;Zinc_mg;VitA_USRDA;VitB6_USRDA;VitB12_USRDA;VitC_USRDA;VitE_USRDA;Folate_USRDA;Niacin_USRDA;Riboflavin_USRDA;Thiamin_USRDA;Calcium_USRDA;Copper_USRDA;Magnesium_USRDA;Phosphorus_USRDA;Selenium_USRDA;Zinc_USRDA
5767;18314;276;2.8;17.6;28.5;0;0.5;95;0.045;0.21;0.6;0;23;0.132;0.104;0.028;72;0.08;0.4;17;0.19;169;5;0.38;0.105555555555556;0.0264705882352941;0.0875;0.00666666666666667;0;0.0575;0.00825;0.08;0.0233333333333333;0.06;8,89E+09;0.0404761904761905;0.241428571428571;0.0909090909090909;0.0345454545454545
2670;10183;165;21.97;7.66;0.5;0;0;0;0.35;0.68;0;0.28;3;5.324;0.28;0.739;8;0.119;1.4;19;0.046;248;19.5;2.63;0;0.205882352941176;0.283333333333333;0;0.0186666666666667;0.0075;0.33275;0.215384615384615;0.615833333333333;0.00666666666666667;0.000132222222222222;0.0452380952380952;0.354285714285714;0.354545454545455;0.239090909090909
5851;18427;502;7.4;25.3;61;1.79;1.6;0;0.053;0;0;2.03;142;4.048;0.342;0.408;120;0.213;3.6;27;0.556;228;6.6;0.68;0;0.0311764705882353;0;0;0.135333333333333;0.355;0.253;0.263076923076923;0.34;0.1;0.000236666666666667;0.0642857142857143;0.325714285714286;0.12;0.0618181818181818
7095;23047;137;20.98;5.21;0;0;0;0;0.527;5.39;0;0.2;11;5.24;0.201;0.067;5;0.068;2.01;24;0.011;216;28.8;5.65;0;0.31;224.583.333.333.333;0;0.0133333333333333;0.0275;0.3275;0.154615384615385;0.0558333333333333;0.00416666666666667;7,56E+09;0.0571428571428571;0.308571428571429;0.523636363636364;0.513636363636364
2681;10196;260;27.63;15.76;0;0;0;2;0.371;0.67;0.3;0;8;4.945;0.3;0.834;28;0.068;0.77;26;0.018;237;44;2.26;0.00222222222222222;0.218235294117647;0.279166666666667;0.00333333333333333;0;0.02;0.3090625;0.230769230769231;0.695;0.0233333333333333;7,56E+09;0.0619047619047619;0.338571428571429;0.8;0.205454545454545
2661;10174;378;17.75;33.5;0;0;0;0;0.37;0.88;0;0;5;2.06;0.11;0.21;18;0.084;0.99;8;0.011;50;2.7;2.31;0;0.217647058823529;0.366666666666667;0;0;0.0125;0.12875;0.0846153846153846;0.175;0.015;9,33E+09;0.019047619047619;0.0714285714285714;0.0490909090909091;0.21
8527;43287;213;23.9;13;0;0;0;28;0.57;0.41;2.9;0.06;6;7.6;0.35;0.28;17;0.763;5.91;26;0;332;20.1;3.83;0.0311111111111111;0.335294117647059;0.170833333333333;0.0322222222222222;0.004;0.015;0.475;0.269230769230769;0.233333333333333;0.0141666666666667;0.000847777777777778;0.0619047619047619;0.474285714285714;0.365454545454545;0.348181818181818
2837;10981;255;24.15;17.65;0;0;0;4;0.433;0.75;0;0.27;0;7.883;0.348;0.479;44;0.107;0.96;17;0.011;171;33.7;3.24;0.00444444444444444;0.254705882352941;0.3125;0;0.018;0;0.4926875;0.267692307692308;0.399166666666667;0.0366666666666667;0.000118888888888889;0.0404761904761905;0.244285714285714;0.612727272727273;0.294545454545455
3251;11520;42;4.98;0.74;6.7;3.01;3.7;241;0.146;0;52;2.02;126;1.513;0.456;0.209;107;0.27;2.25;45;0.714;60;0.9;0.41;0.267777777777778;0.0858823529411765;0;0.577777777777778;0.134666666666667;0.315;0.0945625;0.350769230769231;0.174166666666667;0.0891666666666667;3,00E-04;0.107142857142857;0.0857142857142857;0.0163636363636364;0.0372727272727273
6410;19909;347;2.06;0;84.77;4.03;0.6;0;0.015;0;0;0;0;0;0.015;0.015;879;0.007;0.16;6;0.022;8;0;0.04;0;0.00882352941176471;0;0;0;0;0;0.0115384615384615;0.0125;0.7325;7,78E+08;0.0142857142857143;0.0114285714285714;0;0.00363636363636364
1025;5314;108;20.32;3;0;0;0;11;0.761;0.19;0;0.19;8;7.583;0.127;0.068;5;0.029;0.34;25;0.011;198;26.4;0.63;0.0122222222222222;0.447647058823529;0.0791666666666667;0;0.0126666666666667;0.02;0.4739375;0.0976923076923077;0.0566666666666667;0.00416666666666667;3,22E+09;0.0595238095238095;0.282857142857143;0.48;0.0572727272727273
4631;15180;141;21.43;5.5;0;0;0;18;0.38;4.4;0;0;20;7;0.16;0.02;249;0.1;0.7;30;0.02;354;43.3;1;0.02;0.223529411764706;183.333.333.333.333;0;0;0.05;0.4375;0.123076923076923;0.0166666666666667;0.2075;0.000111111111111111;0.0714285714285714;0.505714285714286;0.787272727272727;0.0909090909090909
1057;5357;251;20.29;18.86;0.4;0.4;0;24;0.153;0.6;0;0.26;7;5.621;0.185;0.065;33;0.061;0.83;19;0.006;217;35.4;1.51;0.0266666666666667;0.09;0.25;0;0.0173333333333333;0.0175;0.3513125;0.142307692307692;0.0541666666666667;0.0275;6,78E+09;0.0452380952380952;0.31;0.643636363636364;0.137272727272727
7190;23142;267;25.03;18.57;0;0;0;8;0.408;3.14;0;0.09;6;4.773;0.194;0.066;17;0.072;2.42;22;0.012;192;29.1;8.78;0.00888888888888889;0.24;130.833.333.333.333;0;0.006;0.015;0.2983125;0.149230769230769;0.055;0.0141666666666667;8,00E-05;0.0523809523809524;0.274285714285714;0.529090909090909;0.798181818181818
2725;10857;122;16.88;4.94;1.87;1.43;0;0;0;0;1.4;0;0;0;0;0;6;0.1;0.9;19;0;0;0;1.8;0;0;0;0.0155555555555556;0;0;0;0;0;0.005;0.000111111111111111;0.0452380952380952;0;0;0.163636363636364
7947;28212;461;7.1;15.7;73.9;22.6;2;0;0.03;0;0;0;0;4;0.34;0.53;0;0;3.3;16;0;79;0;0.5;0;0.0176470588235294;0;0;0;0;0.25;0.261538461538462;0.441666666666667;0;0;0.0380952380952381;0.112857142857143;0;0.0454545454545455
5475;17397;147;20.61;7.12;0;0;0;5;0.246;1.05;0;0.32;0;5.208;0.178;0.061;8;0.105;1.4;23;0.008;192;2.9;2.24;0.00555555555555556;0.144705882352941;0.4375;0;0.0213333333333333;0;0.3255;0.136923076923077;0.0508333333333333;0.00666666666666667;0.000116666666666667;0.0547619047619048;0.274285714285714;0.0527272727272727;0.203636363636364
2974;11177;74;2.18;1.43;13.02;0;0;0;0;0;1.7;0;29;0.78;0.015;0.015;2;0.031;0.22;11;0.056;41;0;0.28;0;0;0;0.0188888888888889;0;0.0725;0.04875;0.0115384615384615;0.0125;0.00166666666666667;3,44E+09;0.0261904761904762;0.0585714285714286;0;0.0254545454545455
7620;23633;205;34.6;6.35;0;0;0;0;0.321;2.33;0;0.43;12;5.007;0.213;0.073;17;0.113;2.89;23;0.012;215;39.4;8.43;0;0.188823529411765;0.970833333333333;0;0.0286666666666667;0.03;0.3129375;0.163846153846154;0.0608333333333333;0.0141666666666667;0.000125555555555556;0.0547619047619048;0.307142857142857;0.716363636363636;0.766363636363636
1334;6240;85;1.54;2.69;13.85;9.23;2.3;0;0;0;0;0;0;0;0;0;15;0;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0125;0;0;0;0;0
2577;10063;200;29.2;8.31;0;0;0;3;0.537;0.67;0;0.24;0;9.905;0.238;0.526;12;0.089;0.88;23;0.01;221;40.3;2.29;0.00333333333333333;0.315882352941177;0.279166666666667;0;0.016;0;0.6190625;0.183076923076923;0.438333333333333;0.01;9,89E+09;0.0547619047619048;0.315714285714286;0.732727272727273;0.208181818181818
494;3711;112;6.9;3.9;13.4;0;0;0;0.092;0.35;0;0;28;3.987;0.847;0.655;223;0.166;14.42;37;0;166;0;0.76;0;0.0541176470588235;0.145833333333333;0;0;0.07;0.2491875;0.651538461538462;0.545833333333333;0.185833333333333;0.000184444444444444;0.0880952380952381;0.237142857142857;0;0.0690909090909091
2755;10887;107;17.93;3.38;1.24;0.97;0;10;0.247;0.58;0;0.18;2;4.09;0.222;0.282;10;0.117;0.67;18;0.022;218;40.3;1.65;0.0111111111111111;0.145294117647059;0.241666666666667;0;0.012;0.005;0.255625;0.170769230769231;0.235;0.00833333333333333;0.00013;0.0428571428571429;0.311428571428571;0.732727272727273;0.15
8587;43541;251;4.72;16.98;19.78;17.35;0.9;201;0.033;0.18;0.5;0.46;5;0.182;0.167;0.03;142;0.175;1.02;32;0.173;115;2.1;0.64;0.223333333333333;0.0194117647058824;0.075;0.00555555555555556;0.0306666666666667;0.0125;0.011375;0.128461538461538;0.025;0.118333333333333;0.000194444444444444;0.0761904761904762;0.164285714285714;0.0381818181818182;0.0581818181818182
3249;11518;112;1.5;0.2;26.46;0.4;4.1;4;0.283;0;4.5;2.38;22;0.6;0.025;0.095;43;0.172;0.55;33;0.383;84;0.7;0.23;0.00444444444444444;0.166470588235294;0;0.05;0.158666666666667;0.055;0.0375;0.0192307692307692;0.0791666666666667;0.0358333333333333;0.000191111111111111;0.0785714285714286;0.12;0.0127272727272727;0.0209090909090909
8253;35200;156;2.62;0.36;35.67;0.82;8;0;0.47;0;5.5;0;0;1.071;0.09;0.178;130;0.053;1.27;63;0.266;31;14.7;0.37;0;0.276470588235294;0;0.0611111111111111;0;0;0.0669375;0.0692307692307692;0.148333333333333;0.108333333333333;5,89E+09;0.15;0.0442857142857143;0.267272727272727;0.0336363636363636
1685;7213;104;16.3;3.52;1.83;1;0;0;0;0;0;0;4;0;0;0;10;0.24;1.3;31;0;233;0;1.81;0;0;0;0;0;0.01;0;0;0;0.00833333333333333;0.000266666666666667;0.0738095238095238;0.332857142857143;0;0.164545454545455
5873;18453;404;4.7;5.5;84.1;0;1.3;4;0.026;0.11;0;0;126;1.569;0.211;0.172;155;0.063;1.31;10;0.228;324;3.1;0.33;0.00444444444444444;0.0152941176470588;0.0458333333333333;0;0;0.315;0.0980625;0.162307692307692;0.143333333333333;0.129166666666667;7,00E-05;0.0238095238095238;0.462857142857143;0.0563636363636364;0.03
3062;11279;22;1.87;0.21;4.51;2.4;2.5;14;0.187;0;16.3;0.27;46;0.871;0.055;0.132;77;0.085;0.28;36;0.294;32;0.4;0.43;0.0155555555555556;0.11;0;0.181111111111111;0.018;0.115;0.0544375;0.0423076923076923;0.11;0.0641666666666667;9,44E+09;0.0857142857142857;0.0457142857142857;0.00727272727272727;0.0390909090909091
847;5048;319;14.05;28.74;0;0;0;75;0.19;0.25;1.6;0.37;6;4.835;0.116;0.051;13;0.047;0.94;15;0.018;113;12.1;1.26;0.0833333333333333;0.111764705882353;0.104166666666667;0.0177777777777778;0.0246666666666667;0.015;0.3021875;0.0892307692307692;0.0425;0.0108333333333333;5,22E+09;0.0357142857142857;0.161428571428571;0.22;0.114545454545455
1579;6986;47;2.4;1.3;6.51;0.89;1;0;0;0;0.3;0;0;0;0;0;12;0;0.69;5;0;25;0;0.2;0;0;0;0.00333333333333333;0;0;0;0;0;0.01;0;0.0119047619047619;0.0357142857142857;0;0.0181818181818182
1924;8192;395;6.5;5.3;81.6;29.2;4.7;400;0.9;2.7;0.9;1.56;296;9.1;0.8;0.7;41;0.2;3.3;57;0;162;16.7;1.6;0.444444444444444;0.529411764705882;1.125;0.01;0.104;0.74;0.56875;0.615384615384615;0.583333333333333;0.0341666666666667;0.000222222222222222;0.135714285714286;0.231428571428571;0.303636363636364;0.145454545454545
